"state_po","date","state","fips","cases","deaths","pop","totalTestResults"
"AK",2020-03-12,"Alaska",2,1,0,731545,46
"AK",2020-03-13,"Alaska",2,1,0,731545,60
"AK",2020-03-14,"Alaska",2,1,0,731545,144
"AK",2020-03-15,"Alaska",2,1,0,731545,144
"AK",2020-03-16,"Alaska",2,3,0,731545,144
"AK",2020-03-17,"Alaska",2,6,0,731545,337
"AK",2020-03-18,"Alaska",2,9,0,731545,412
"AK",2020-03-19,"Alaska",2,12,0,731545,438
"AK",2020-03-20,"Alaska",2,14,0,731545,698
"AK",2020-03-21,"Alaska",2,21,0,731545,772
"AK",2020-03-22,"Alaska",2,22,0,731545,968
"AK",2020-03-23,"Alaska",2,36,0,731545,968
"AK",2020-03-24,"Alaska",2,42,0,731545,1022
"AK",2020-03-25,"Alaska",2,59,0,731545,1691
"AK",2020-03-26,"Alaska",2,69,0,731545,1860
"AK",2020-03-27,"Alaska",2,85,1,731545,2388
"AK",2020-03-28,"Alaska",2,102,1,731545,2921
"AK",2020-03-29,"Alaska",2,114,2,731545,3334
"AK",2020-03-30,"Alaska",2,120,2,731545,3654
"AK",2020-03-31,"Alaska",2,133,2,731545,3713
"AK",2020-04-01,"Alaska",2,143,2,731545,4603
"AK",2020-04-02,"Alaska",2,146,2,731545,5022
"AK",2020-04-03,"Alaska",2,156,2,731545,6016
"AK",2020-04-04,"Alaska",2,169,3,731545,6040
"AK",2020-04-05,"Alaska",2,183,4,731545,6284
"AK",2020-04-06,"Alaska",2,189,4,731545,6883
"AK",2020-04-07,"Alaska",2,211,4,731545,6913
"AK",2020-04-08,"Alaska",2,224,5,731545,7068
"AK",2020-04-09,"Alaska",2,233,5,731545,7223
"AK",2020-04-10,"Alaska",2,244,5,731545,7432
"AK",2020-04-11,"Alaska",2,255,6,731545,7732
"AK",2020-04-12,"Alaska",2,270,6,731545,8038
"AK",2020-04-13,"Alaska",2,275,6,731545,7830
"AK",2020-04-14,"Alaska",2,283,7,731545,8348
"AK",2020-04-15,"Alaska",2,291,7,731545,8664
"AK",2020-04-16,"Alaska",2,298,7,731545,8735
"AK",2020-04-17,"Alaska",2,307,7,731545,9450
"AK",2020-04-18,"Alaska",2,312,7,731545,9655
"AK",2020-04-19,"Alaska",2,317,7,731545,9895
"AK",2020-04-20,"Alaska",2,319,7,731545,10124
"AK",2020-04-21,"Alaska",2,327,7,731545,11119
"AK",2020-04-22,"Alaska",2,333,7,731545,12159
"AK",2020-04-23,"Alaska",2,335,7,731545,12161
"AK",2020-04-24,"Alaska",2,337,7,731545,12281
"AK",2020-04-25,"Alaska",2,337,7,731545,15732
"AK",2020-04-26,"Alaska",2,339,7,731545,16177
"AK",2020-04-27,"Alaska",2,343,7,731545,16256
"AK",2020-04-28,"Alaska",2,349,7,731545,17089
"AK",2020-04-29,"Alaska",2,353,7,731545,19119
"AK",2020-04-30,"Alaska",2,353,7,731545,19119
"AK",2020-05-01,"Alaska",2,362,7,731545,20325
"AK",2020-05-02,"Alaska",2,363,7,731545,21399
"AK",2020-05-03,"Alaska",2,366,7,731545,21578
"AK",2020-05-04,"Alaska",2,368,7,731545,21723
"AK",2020-05-05,"Alaska",2,369,7,731545,22692
"AK",2020-05-06,"Alaska",2,370,8,731545,23655
"AK",2020-05-07,"Alaska",2,373,8,731545,24341
"AK",2020-05-08,"Alaska",2,376,8,731545,25473
"AK",2020-05-09,"Alaska",2,377,8,731545,26449
"AK",2020-05-10,"Alaska",2,378,8,731545,27364
"AK",2020-05-11,"Alaska",2,380,8,731545,28680
"AK",2020-05-12,"Alaska",2,383,8,731545,29961
"AK",2020-05-13,"Alaska",2,383,8,731545,30649
"AK",2020-05-14,"Alaska",2,387,8,731545,31762
"AK",2020-05-15,"Alaska",2,388,8,731545,32418
"AK",2020-05-16,"Alaska",2,392,8,731545,33281
"AK",2020-05-17,"Alaska",2,396,8,731545,34651
"AK",2020-05-18,"Alaska",2,399,8,731545,35611
"AK",2020-05-19,"Alaska",2,399,8,731545,36380
"AK",2020-05-20,"Alaska",2,402,8,731545,37045
"AK",2020-05-21,"Alaska",2,402,8,731545,39545
"AK",2020-05-22,"Alaska",2,404,8,731545,41446
"AK",2020-05-23,"Alaska",2,409,8,731545,42351
"AK",2020-05-24,"Alaska",2,409,8,731545,43507
"AK",2020-05-25,"Alaska",2,412,8,731545,44472
"AK",2020-05-26,"Alaska",2,416,8,731545,44964
"AK",2020-05-27,"Alaska",2,417,8,731545,46363
"AK",2020-05-28,"Alaska",2,430,8,731545,47970
"AK",2020-05-29,"Alaska",2,436,8,731545,49439
"AK",2020-05-30,"Alaska",2,441,8,731545,51695
"AK",2020-05-31,"Alaska",2,469,8,731545,51695
"AK",2020-06-01,"Alaska",2,476,8,731545,54190
"AK",2020-06-02,"Alaska",2,497,8,731545,56203
"AK",2020-06-03,"Alaska",2,516,8,731545,58182
"AK",2020-06-04,"Alaska",2,542,8,731545,60097
"AK",2020-06-05,"Alaska",2,565,8,731545,60990
"AK",2020-06-06,"Alaska",2,579,8,731545,63901
"AK",2020-06-07,"Alaska",2,588,8,731545,64904
"AK",2020-06-08,"Alaska",2,607,8,731545,65912
"AK",2020-06-09,"Alaska",2,620,9,731545,66890
"AK",2020-06-10,"Alaska",2,642,9,731545,67720
"AK",2020-06-11,"Alaska",2,666,9,731545,69011
"AK",2020-06-12,"Alaska",2,688,10,731545,70880
"AK",2020-06-13,"Alaska",2,722,10,731545,71803
"AK",2020-06-14,"Alaska",2,734,10,731545,73467
"AK",2020-06-15,"Alaska",2,738,10,731545,74437
"AK",2020-06-16,"Alaska",2,751,10,731545,76215
"AK",2020-06-17,"Alaska",2,776,10,731545,77709
"AK",2020-06-18,"Alaska",2,795,10,731545,81185
"AK",2020-06-19,"Alaska",2,821,10,731545,83631
"AK",2020-06-20,"Alaska",2,845,10,731545,86918
"AK",2020-06-21,"Alaska",2,859,10,731545,88051
"AK",2020-06-22,"Alaska",2,869,10,731545,90824
"AK",2020-06-23,"Alaska",2,905,10,731545,92947
"AK",2020-06-24,"Alaska",2,926,10,731545,96096
"AK",2020-06-25,"Alaska",2,971,10,731545,99452
"AK",2020-06-26,"Alaska",2,1001,12,731545,101792
"AK",2020-06-27,"Alaska",2,1027,12,731545,105581
"AK",2020-06-28,"Alaska",2,1060,12,731545,108300
"AK",2020-06-29,"Alaska",2,1085,12,731545,108709
"AK",2020-06-30,"Alaska",2,1132,12,731545,112185
"AK",2020-07-01,"Alaska",2,1174,12,731545,114400
"AK",2020-07-02,"Alaska",2,1224,12,731545,115909
"AK",2020-07-03,"Alaska",2,1284,13,731545,120208
"AK",2020-07-04,"Alaska",2,1339,14,731545,122732
"AK",2020-07-05,"Alaska",2,1371,14,731545,123753
"AK",2020-07-06,"Alaska",2,1401,14,731545,123753
"AK",2020-07-07,"Alaska",2,1423,15,731545,131420
"AK",2020-07-08,"Alaska",2,1472,15,731545,133401
"AK",2020-07-09,"Alaska",2,1521,15,731545,135744
"AK",2020-07-10,"Alaska",2,1579,15,731545,141931
"AK",2020-07-11,"Alaska",2,1656,15,731545,143376
"AK",2020-07-12,"Alaska",2,1772,15,731545,145475
"AK",2020-07-13,"Alaska",2,1843,15,731545,146590
"AK",2020-07-14,"Alaska",2,1897,15,731545,149473
"AK",2020-07-15,"Alaska",2,1958,15,731545,156093
"AK",2020-07-16,"Alaska",2,2034,15,731545,163022
"AK",2020-07-17,"Alaska",2,2083,15,731545,165414
"AK",2020-07-18,"Alaska",2,2157,16,731545,168363
"AK",2020-07-19,"Alaska",2,2275,16,731545,173010
"AK",2020-07-20,"Alaska",2,2412,16,731545,175586
"AK",2020-07-21,"Alaska",2,2523,16,731545,178626
"AK",2020-07-22,"Alaska",2,2617,17,731545,185333
"AK",2020-07-23,"Alaska",2,2682,17,731545,189509
"AK",2020-07-24,"Alaska",2,2746,17,731545,200572
"AK",2020-07-25,"Alaska",2,2866,18,731545,205066
"AK",2020-07-26,"Alaska",2,3100,18,731545,207264
"AK",2020-07-27,"Alaska",2,3204,19,731545,207368
"AK",2020-07-28,"Alaska",2,3348,20,731545,213875
"AK",2020-07-29,"Alaska",2,3440,20,731545,223664
"AK",2020-07-30,"Alaska",2,3557,21,731545,225057
"AK",2020-07-31,"Alaska",2,3675,21,731545,233106
"AK",2020-08-01,"Alaska",2,3825,22,731545,238633
"AK",2020-08-02,"Alaska",2,3982,22,731545,243090
"AK",2020-08-03,"Alaska",2,4062,23,731545,245807
"AK",2020-08-04,"Alaska",2,4123,23,731545,252649
"AK",2020-08-05,"Alaska",2,4181,23,731545,257279
"AK",2020-08-06,"Alaska",2,4221,23,731545,261572
"AK",2020-08-07,"Alaska",2,4286,23,731545,268851
"AK",2020-08-08,"Alaska",2,4371,24,731545,273593
"AK",2020-08-09,"Alaska",2,4471,24,731545,277919
"AK",2020-08-10,"Alaska",2,4537,24,731545,280343
"AK",2020-08-11,"Alaska",2,4587,24,731545,290744
"AK",2020-08-12,"Alaska",2,4653,25,731545,292582
"AK",2020-08-13,"Alaska",2,4748,25,731545,294053
"AK",2020-08-14,"Alaska",2,4867,25,731545,295929
"AK",2020-08-15,"Alaska",2,4952,26,731545,296677
"AK",2020-08-16,"Alaska",2,5058,26,731545,301515
"AK",2020-08-17,"Alaska",2,5108,26,731545,305648
"AK",2020-08-18,"Alaska",2,5175,27,731545,310009
"AL",2020-03-13,"Alabama",1,6,0,4903185,12
