,pre_winning_party,Conservative_votes_diff_diff,Labour_votes_diff_diff,nearest_peak_c,nearest_peak_d,nearest_area_d,nearest_area_c,no_peaks_c,no_peaks_d,smokers,weekly_pay
E07000090,Conservative,0.15789473684210517,-0.052631578947368335,388.0,402.0,62.0,619.0,4,5,13.7,479.1
E07000229,Conservative,-0.27027027027027034,0.3243243243243244,398.0,403.0,60.0,556.9308633484598,5,6,16,512.2
E08000001,Labour,0.13333333333333336,-0.16666666666666669,396.0,364.0,154.0,1660.7736986591044,4,5,15.7,442.6
E08000009,Labour,-0.12698412698412698,0.12698412698412698,383.0,401.0,87.94439871254271,1328.0701543525581,5,6,8.5,543.3
E08000016,Labour,-5.551115123125783e-17,-0.03174603174603169,400.0,412.0,168.31361863898724,1290.010044359413,5,5,13.7,467.3
E08000032,Labour,0.08888888888888885,-0.022222222222222192,397.0,386.0,177.0,2727.0,5,4,13.2,457
E07000094,LD,0.04444444444444451,0.0,390.0,397.0,39.0,593.5775495227662,5,6,8,574.9
E07000125,Labour,0.11111111111111116,-0.11111111111111116,405.0,359.0,36.0,840.0207475592326,5,5,14.8,459.6
E06000038,Labour,-0.0434782608695652,-1.3877787807814457e-17,395.0,367.0,49.691806632579464,1340.0,5,5,12.4,574.9
E07000099,Conservative,0.040816326530612235,-0.040816326530612235,388.0,403.0,84.0,664.6969849165564,5,6,10.8,576.7
E08000015,Labour,0.030303030303030346,-0.12121212121212126,392.0,407.0,137.32949569624435,1390.0,5,6,11.4,473.3
E08000021,Labour,1.3877787807814457e-17,-0.05128205128205131,394.0,365.0,98.05458052109486,3483.6765327276426,5,5,13.6,469.5
E06000030,Conservative,0.21052631578947367,-0.14035087719298245,395.0,399.0,51.0,934.4546114745023,4,6,12.3,527.8
E07000032,Labour,0.4,-0.4,395.0,408.0,80.60455893512666,1005.0,3,6,10.2,485.5
E07000069,Conservative,-0.1463414634146341,-5.551115123125783e-17,386.0,398.0,102.3501902683148,1045.2341771172573,5,4,7.5,508.4
E07000212,Conservative,0.04878048780487805,-0.04878048780487809,390.0,395.0,38.32700988582216,768.0,5,6,12.9,660.8
E08000011,Labour,-6.938893903907228e-18,-0.1333333333333333,395.0,363.0,78.0,914.3015177076816,4,5,13.7,498.8
E06000051,Conservative,-0.16216216216216223,0.027027027027027084,390.0,380.0,75.23024502468448,1039.0,5,5,7.6,468.1
E07000072,Conservative,-0.03448275862068969,3.469446951953614e-17,392.0,391.0,68.0,1067.0,5,5,14.6,559.4
E07000088,Conservative,0.05882352941176472,-0.11764705882352944,398.0,418.0,50.0,622.0609879139871,5,6,10.5,493.2
E07000095,Conservative,0.0,0.0,396.0,403.0,45.0,882.0,5,6,15.6,577.1
E06000054,Conservative,-0.1428571428571428,0.020408163265306103,390.0,378.0,120.0,1109.0,5,5,11.6,481.2
E07000110,Conservative,0.18181818181818182,4.163336342344337e-17,393.0,376.0,96.0,1206.6773388839733,4,5,14.1,549.5
E08000030,Conservative,0.16666666666666663,-0.09999999999999998,383.0,399.0,127.60330280367366,1847.571893526693,5,6,11.8,462.2
E06000026,Labour,0.21052631578947367,-0.21052631578947367,398.0,381.0,38.0,1126.3393144278048,5,6,14.6,430.3
E07000086,LD,0.0,0.0,397.0,404.0,46.0,584.4065459661422,5,6,6.3,546.4
E07000122,Conservative,0.06060606060606055,-0.06060606060606055,400.0,359.0,84.42861708602727,855.9821775356659,5,5,10,398.6
E08000027,Labour,0.3333333333333333,-0.3055555555555555,383.0,391.0,142.01211104536966,3218.0,5,6,12.6,486.3
E08000029,Conservative,0.11764705882352944,-0.0392156862745098,390.0,409.0,142.0,1131.3039859162952,5,5,10.3,606.4
E07000102,LD,0.0,0.0,392.0,403.0,55.0,703.6582681605269,5,6,7.5,565.8
E08000018,Labour,0.6779661016949152,-0.4067796610169491,396.0,402.0,150.94775514060413,1611.5575437910502,5,5,12.5,438.5
E08000026,Labour,0.037037037037037035,-0.037037037037037035,393.0,417.0,94.29977851472968,1934.3451735579301,6,5,13.1,503
E08000034,Labour,0.05797101449275363,-0.0289855072463768,395.0,380.0,124.48605578871143,2619.7435608340375,4,5,12.1,461.5
E06000008,Labour,0.039215686274509845,-4.163336342344337e-17,404.0,359.0,129.0,1564.8805267169644,4,4,15.1,430
E06000039,Labour,2.7755575615628914e-17,-0.047619047619047644,388.0,396.0,74.0,1200.0379601264674,4,6,13.9,566.4
E07000008,Labour,0.0,0.04761904761904767,382.0,393.0,23.0,610.171443078902,5,6,13.7,635.2
E07000199,Conservative,0.2666666666666667,-0.1333333333333334,402.0,401.0,37.0,599.0,5,6,14.6,472.7
E08000014,Labour,0.060606060606060566,0.18181818181818182,397.0,368.0,114.0,1221.1996912457619,5,5,6.5,463
E06000046,Conservative,-0.2564102564102564,0.0,395.0,397.0,65.0,1286.0,5,6,11.8,422
E06000052,LD,0.4367816091954023,0.04597701149425283,393.0,387.0,113.0,1268.0,5,5,12.1,414.6
E07000211,Conservative,-0.04444444444444448,2.7755575615628914e-17,388.0,370.0,92.0,775.0,4,5,11.6,609.2
E07000220,Conservative,0.09523809523809518,-0.04761904761904756,397.0,402.0,41.0,647.9950493795242,4,6,7,568.3
E07000236,Conservative,0.4827586206896551,-0.4827586206896551,394.0,391.0,68.67341134281664,532.0,5,6,17.3,462.5
E08000022,Labour,0.0677966101694916,-0.03389830508474584,393.0,398.0,85.60755556844886,1635.9143734650138,4,6,14.3,489.9
E08000024,Labour,0.16,-0.23999999999999996,388.0,366.0,195.0,1250.2835523277831,5,5,14.6,433.4
E07000123,Labour,0.08333333333333331,0.0,401.0,412.0,119.13028948830083,1659.4301963209255,4,5,11.2,448.7
E07000207,Conservative,0.0,0.0,395.0,399.0,60.0,772.0,5,6,5,622.8
E08000012,Labour,0.0,-0.06666666666666665,396.0,374.0,139.4854531521963,2567.005913051763,5,5,15.6,489.9
E07000089,Others,0.06060606060606066,0.0,393.0,403.0,51.737442428244215,456.0673150656288,5,6,7.3,570.8
E07000120,Labour,0.22857142857142862,-0.22857142857142862,393.0,403.0,59.092759685455576,575.0,5,6,12,421.5
E07000178,Labour,-1.0408340855860843e-17,-0.12500000000000003,386.0,410.0,44.0,856.0,5,6,11.5,536.7
E07000219,Labour,0.5882352941176472,-0.5882352941176472,388.0,376.0,68.04095679069988,904.0,5,5,15.5,485.4
E08000004,Labour,0.13333333333333341,-0.20000000000000007,376.0,396.0,105.0,1464.0,5,6,12,451.8
E06000041,Conservative,-0.0740740740740741,-0.03703703703703695,376.0,377.0,55.0,818.0,5,5,5.5,658.6
E06000042,Labour,0.21052631578947367,-0.14035087719298245,383.0,380.0,81.66900397930024,1973.0,5,4,13.4,561.7
E07000087,Conservative,0.06451612903225803,2.7755575615628914e-17,391.0,375.0,63.85262710309917,591.0349837706152,5,4,8.1,593.3
E07000103,LD,0.0,0.0,390.0,409.0,42.0,682.0,5,6,15.4,556.4
E07000202,Labour,0.25,-0.25,398.0,365.0,80.01784216994835,816.0324117943751,5,4,20.2,460.2
E07000223,Conservative,0.2068965517241379,0.0,400.0,403.0,21.782328324485114,378.9844928416348,5,6,5.9,441.2
E07000062,Labour,0.25,-0.3125,402.0,416.0,110.0,726.0,5,6,15.9,474.5
E07000075,Conservative,0.1025641025641025,7.632783294297951e-17,395.0,401.0,76.0,684.0,5,4,11.3,633.4
E07000210,LD,0.0,0.0,390.0,396.0,51.0,513.0,5,6,17.4,540.5
E07000237,Conservative,0.11428571428571423,-0.22857142857142854,395.0,404.0,48.362581721742565,522.0,5,6,9.4,503.9
E08000035,Labour,0.020202020202020235,-0.04040404040404043,394.0,401.0,199.36548280816365,4713.0,5,5,13.3,500.4
E06000023,Labour,0.0,-0.37142857142857144,399.0,396.0,115.16931172155881,2705.947088336518,6,6,15.8,528.3
E07000118,Labour,0.1428571428571429,-0.04761904761904767,399.0,402.0,76.66428815928488,769.5648391193657,5,5,20.2,507.7
E07000181,Conservative,-0.12244897959183682,5.204170427930421e-17,384.0,411.0,30.0,484.630544724571,5,6,8.7,512.6
E08000007,LD,0.0,0.0,391.0,397.0,103.6899464336026,1741.0,5,6,12.5,512.3
E08000023,Labour,0.037037037037037035,-0.14814814814814814,388.0,378.0,104.15577365299384,1232.0,5,5,15.7,461.4
E08000031,Labour,0.1666666666666667,-0.1666666666666667,376.0,383.0,113.52387526839473,2057.8644915234418,5,6,9.9,481.3
E06000015,Conservative,0.07843137254901958,-0.11764705882352941,399.0,403.0,131.0,2127.0,4,5,11.5,493.1
E07000081,Conservative,0.2051282051282051,-0.3589743589743589,389.0,394.0,55.0,693.1755719747356,4,5,19.3,475
E08000002,Labour,-2.7755575615628914e-17,-0.07843137254901958,384.0,421.0,131.02278611291354,1633.1137336826946,4,6,10.8,529.8
E08000017,Labour,0.1454545454545455,-0.10909090909090913,397.0,411.0,219.29435827367683,2278.9314350107775,5,5,18.3,484.9
E06000012,Conservative,0.38095238095238093,-0.33333333333333337,391.0,402.0,62.77095460861748,670.8255417226254,4,5,16.5,446.9
E06000033,Conservative,0.11764705882352947,0.0392156862745098,396.0,407.0,117.28973310593553,1374.2611365455373,5,4,12.1,526.2
E07000041,Labour,2.0816681711721685e-17,-0.0512820512820513,388.0,386.0,58.04671178921212,536.9542505519423,5,5,4.9,459.3
E07000117,Labour,0.13333333333333333,-0.13333333333333333,400.0,404.0,97.46627158493574,725.7596579638207,5,6,22.8,462.7
E08000003,Labour,0.0,0.0,394.0,385.0,211.13835077854094,5068.7243001730185,5,4,20.8,460
E06000045,Labour,0.29166666666666663,-0.24999999999999997,390.0,406.0,75.0,1223.0,5,6,11.8,532
E07000217,Conservative,-0.13333333333333336,-4.163336342344337e-17,400.0,402.0,48.47865663572085,744.5368598926241,4,6,6.4,608.3
E08000006,Labour,-0.033333333333333326,-3.469446951953614e-18,387.0,405.0,107.0,1439.139083797144,5,6,12.7,470.2
E08000019,Labour,0.023809523809523864,-0.19047619047619052,387.0,405.0,180.0,2476.0,5,5,10.3,483.6
E08000033,Labour,0.07843137254901959,4.163336342344337e-17,403.0,406.0,45.0,902.0,4,6,11.2,459.7
